gamma,alpha,alpha_sd
3.699999999999999956e-01,5.171178144000000421e-01,5.494516740000000149e-02
3.800000000000000044e-01,6.484711082999999876e-01,5.371207570000000042e-02
3.900000000000000133e-01,7.784260870000000443e-01,4.942237730000000051e-02
4.000000000000000222e-01,7.855092719999999806e-01,4.875680260000000293e-02
4.099999999999999756e-01,7.624917351000000121e-01,5.905059599999999687e-02
4.199999999999999845e-01,8.592128798000000511e-01,5.098510309999999823e-02
4.299999999999999933e-01,8.218994232999999872e-01,4.717780220000000052e-02
4.400000000000000022e-01,9.083726278999999515e-01,4.543534219999999929e-02
4.500000000000000111e-01,8.357218301000000071e-01,4.126929540000000285e-02
4.600000000000000200e-01,8.869236373000000118e-01,4.660636199999999840e-02
4.699999999999999734e-01,9.434582953000000272e-01,4.760765189999999897e-02
4.799999999999999822e-01,9.398108627000000270e-01,4.936679210000000095e-02
4.899999999999999911e-01,9.385390655999999998e-01,4.257546610000000065e-02
5.000000000000000000e-01,8.303023845000000458e-01,5.087097000000000147e-02
5.100000000000000089e-01,9.570308143000000323e-01,4.465303460000000224e-02
5.200000000000000178e-01,8.668027899000000369e-01,4.823931220000000214e-02
5.300000000000000266e-01,9.534068716000000387e-01,4.355406199999999756e-02
5.400000000000000355e-01,7.874582369999999498e-01,4.279644669999999734e-02
5.500000000000000444e-01,9.073750623999999876e-01,4.811814209999999703e-02
5.600000000000000533e-01,8.704949895000000382e-01,4.572948589999999841e-02
5.699999999999999512e-01,8.040392978999999496e-01,4.712857379999999680e-02
5.799999999999999600e-01,8.339124823000000353e-01,4.164724379999999726e-02
5.899999999999999689e-01,8.382591373000000123e-01,4.392549359999999709e-02
5.999999999999999778e-01,8.984707856000000437e-01,4.541365700000000311e-02
6.099999999999999867e-01,8.752968599999999544e-01,5.013033210000000101e-02
6.199999999999999956e-01,9.113142826000000252e-01,3.693473390000000245e-02
6.300000000000000044e-01,8.776803710999999675e-01,3.944064349999999719e-02
6.400000000000000133e-01,8.645488041000000123e-01,5.375242389999999870e-02
6.500000000000000222e-01,8.198289936999999528e-01,4.995412679999999828e-02
6.600000000000000311e-01,9.049371587000000217e-01,4.297760379999999991e-02
6.700000000000000400e-01,8.992127001999999925e-01,4.155099140000000080e-02
6.800000000000000488e-01,8.651815201000000455e-01,4.102147479999999902e-02
6.899999999999999467e-01,9.528315085999999878e-01,4.002374589999999760e-02
6.999999999999999556e-01,7.676285165999999771e-01,4.248320919999999667e-02
7.099999999999999645e-01,5.974907429000000381e-01,4.249921880000000207e-02
7.199999999999999734e-01,5.283712642000000237e-01,4.275347150000000096e-02
7.299999999999999822e-01,7.112437683000000233e-01,3.643765339999999880e-02
7.399999999999999911e-01,8.624642702999999466e-01,3.434229739999999920e-02
7.500000000000000000e-01,9.025377022999999665e-01,3.384484499999999840e-02
7.600000000000000089e-01,9.623405164999999650e-01,3.347012929999999831e-02
7.700000000000000178e-01,9.224464985000000450e-01,2.916021359999999840e-02
7.800000000000000266e-01,9.385535362000000381e-01,2.944914989999999899e-02
7.900000000000000355e-01,9.418101481999999747e-01,3.106315520000000122e-02
8.000000000000000444e-01,9.378898413999999795e-01,3.117189230000000019e-02
