x,y
-1.420012985999999922e-01,3.933100171500000020e+00
-2.681751619000000142e-01,3.960533417699999781e+00
-4.034378636000000018e-01,3.973753534000000087e+00
-5.419081947999999649e-01,3.979799665499999861e+00
-6.882860737999999534e-01,3.977386292199999840e+00
-7.789660581999999778e-01,3.963276281100000187e+00
-8.221954948999999901e-01,3.936704579899999779e+00
-8.890895621000000082e-01,3.886076515000000065e+00
-9.749753112000000277e-01,3.805380874999999996e+00
-1.020403217399999951e+00,3.697394217899999891e+00
-1.025199255300000001e+00,3.565749195099999991e+00
-1.052268874999999992e+00,3.429395929400000043e+00
-1.106511205699999945e+00,3.292525247699999991e+00
-1.143750194299999912e+00,3.186470835999999807e+00
-1.190630649500000082e+00,3.115390673899999907e+00
-1.305099706800000092e+00,3.083094951400000117e+00
-1.450466123500000037e+00,3.086802474200000201e+00
-1.594917397499999945e+00,3.110038165300000212e+00
-1.735402759200000089e+00,3.152297481999999818e+00
-1.849149217399999934e+00,3.234809280999999981e+00
-1.896864449800000019e+00,3.357640765300000218e+00
-1.919456253699999948e+00,3.504557019599999990e+00
-1.934967601200000109e+00,3.647121415500000019e+00
-1.900566020799999922e+00,3.745105380100000048e+00
-1.831316687299999968e+00,3.817230994600000038e+00
-1.766306828200000067e+00,3.881688355100000098e+00
-1.690304450099999967e+00,3.933374727299999929e+00
-1.553890934500000043e+00,3.980851124500000005e+00
-1.412142387400000088e+00,4.022259661399999686e+00
-1.294312594600000033e+00,4.061236389500000321e+00
-1.176563916999999959e+00,4.097997672099999988e+00
-1.081125032199999891e+00,4.140112307799999947e+00
-1.051923410599999942e+00,4.214708514399999828e+00
-1.066139799699999946e+00,4.325936588300000274e+00
-1.067158186299999922e+00,4.467202479800000070e+00
-1.080683494699999914e+00,4.605323587900000071e+00
-1.147946430600000012e+00,4.717082588200000259e+00
-1.241318029399999912e+00,4.817174746600000113e+00
-1.327557212699999933e+00,4.887784309799999782e+00
-1.445468943799999906e+00,4.920593037899999800e+00
-1.584890422600000015e+00,4.909899213900000170e+00
-1.690132514699999922e+00,4.860671601399999986e+00
-1.794441048099999936e+00,4.779140639300000437e+00
-1.888583840999999985e+00,4.679838190899999972e+00
