gamma,alpha,alpha_sd
4.400000000000000022e-01,2.205574439000000109e-01,3.569561329999999810e-02
4.500000000000000111e-01,1.501767417000000049e-01,2.693898949999999973e-02
4.600000000000000200e-01,1.954470479000000038e-01,4.156604860000000234e-02
4.699999999999999734e-01,1.944977871999999941e-01,3.542294740000000164e-02
4.799999999999999822e-01,1.658554872000000124e-01,3.995758299999999791e-02
4.899999999999999911e-01,1.486941455999999939e-01,2.537475670000000072e-02
5.000000000000000000e-01,1.267310808000000066e-01,1.563793200000000022e-02
5.100000000000000089e-01,1.159767689999999934e-01,2.392862930000000041e-02
5.200000000000000178e-01,2.472125685000000073e-01,3.903823380000000232e-02
5.300000000000000266e-01,9.028248848000000049e-01,3.022368159999999984e-02
5.400000000000000355e-01,9.262744242999999544e-01,2.986669440000000106e-02
5.500000000000000444e-01,9.139103853000000166e-01,2.880198750000000085e-02
5.600000000000000533e-01,9.345495711000000316e-01,2.664550779999999910e-02
5.699999999999999512e-01,8.796436780999999927e-01,3.058669740000000137e-02
5.799999999999999600e-01,9.581669468000000300e-01,2.754746849999999830e-02
5.899999999999999689e-01,8.896762155999999866e-01,3.167781599999999753e-02
5.999999999999999778e-01,9.837744143000000108e-01,3.303822609999999826e-02
6.099999999999999867e-01,9.424010971999999819e-01,3.070255740000000025e-02
6.199999999999999956e-01,9.521685597000000278e-01,2.733085429999999871e-02
6.300000000000000044e-01,9.350604479999999885e-01,2.992258570000000048e-02
6.400000000000000133e-01,9.435912850000000018e-01,3.089580579999999868e-02
6.500000000000000222e-01,9.169399587000000018e-01,2.616735939999999955e-02
6.600000000000000311e-01,9.346092094000000294e-01,2.924737239999999905e-02
6.700000000000000400e-01,9.337336397000000066e-01,3.003410629999999845e-02
6.800000000000000488e-01,9.523084554999999840e-01,2.639919909999999953e-02
6.899999999999999467e-01,9.443596824000000112e-01,3.173390269999999680e-02
6.999999999999999556e-01,9.514398491000000124e-01,3.213792299999999880e-02
7.099999999999999645e-01,9.988912572999999462e-01,2.383168780000000098e-02
7.199999999999999734e-01,9.886956905999999545e-01,1.750740859999999968e-02
7.299999999999999822e-01,9.951656693999999526e-01,2.361695960000000094e-02
7.399999999999999911e-01,9.734974171000000398e-01,2.598997000000000113e-02
7.500000000000000000e-01,9.988641516999999803e-01,2.493476810000000085e-02
7.600000000000000089e-01,9.907548910000000264e-01,2.569030640000000143e-02
7.700000000000000178e-01,9.725864561999999491e-01,2.431200229999999976e-02
7.800000000000000266e-01,1.018240734699999983e+00,2.258872740000000129e-02
7.900000000000000355e-01,9.688366756999999829e-01,2.664531770000000063e-02
8.000000000000000444e-01,1.016123381499999923e+00,1.412422950000000003e-02
