gamma,total,chaotic,period1,period3
1.799999999999999656e-01,7.844533333333334468e-01,4.869733333333334246e-01,4.723333333333334244e-02,2.502466666666667283e-01
1.899999999999999745e-01,7.836600000000001343e-01,4.433066666666667377e-01,3.952000000000000651e-02,3.008333333333333970e-01
1.999999999999999556e-01,8.315600000000000769e-01,4.073266666666667257e-01,3.482666666666667243e-02,3.894066666666667342e-01
2.099999999999999645e-01,8.375866666666667015e-01,4.194400000000000350e-01,3.663333333333333719e-02,3.815133333333333709e-01
2.199999999999999456e-01,8.465400000000001812e-01,3.301066666666667149e-01,3.709333333333333926e-02,4.793400000000000993e-01
2.299999999999999545e-01,8.614733333333335352e-01,3.229666666666667352e-01,3.602666666666667211e-02,5.024800000000001488e-01
2.399999999999999634e-01,8.804000000000000714e-01,3.272600000000000509e-01,3.658666666666667011e-02,5.165533333333334198e-01
2.499999999999999445e-01,8.787200000000001676e-01,3.026266666666667104e-01,3.702666666666667300e-02,5.390666666666668050e-01
2.599999999999999534e-01,8.934600000000001430e-01,2.949466666666666903e-01,3.957333333333334230e-02,5.589400000000001034e-01
2.699999999999999623e-01,9.132000000000001227e-01,2.858400000000000385e-01,3.776666666666667060e-02,5.895933333333334136e-01
2.799999999999999711e-01,9.162333333333335661e-01,3.047400000000000664e-01,4.060000000000000414e-02,5.708933333333334748e-01
2.899999999999999800e-01,9.208533333333335236e-01,3.497466666666667057e-01,4.775333333333334207e-02,5.233533333333334481e-01
2.999999999999999889e-01,9.298200000000000909e-01,3.787200000000000566e-01,5.378666666666667012e-02,4.973133333333334405e-01
3.099999999999999978e-01,9.280866666666668374e-01,3.841333333333333822e-01,5.664666666666667849e-02,4.873066666666667768e-01
3.199999999999999512e-01,9.385333333333335526e-01,4.272333333333334093e-01,7.266666666666668495e-02,4.386333333333334306e-01
3.299999999999999600e-01,9.311600000000000987e-01,4.335133333333333616e-01,8.898666666666667224e-02,4.086600000000000232e-01
3.399999999999999689e-01,9.359066666666667755e-01,4.906466666666667864e-01,9.750666666666667204e-02,3.477533333333333587e-01
3.499999999999999778e-01,9.331733333333334102e-01,4.777400000000001090e-01,8.814666666666667871e-02,3.672866666666667057e-01
3.599999999999999867e-01,9.316533333333335554e-01,5.352000000000001201e-01,8.333333333333334259e-02,3.131200000000000649e-01
3.699999999999999400e-01,9.188733333333335418e-01,5.667200000000001125e-01,6.866000000000001269e-02,2.834933333333333749e-01
3.799999999999999489e-01,9.035000000000000808e-01,6.130466666666667397e-01,5.117333333333334150e-02,2.392800000000000482e-01
3.899999999999999578e-01,8.952466666666667461e-01,6.362933333333333774e-01,4.854000000000000675e-02,2.104133333333333689e-01
3.999999999999999667e-01,8.890066666666668338e-01,6.582533333333334680e-01,5.000000000000000278e-02,1.807533333333333492e-01
4.099999999999999756e-01,8.923000000000002041e-01,6.381400000000001516e-01,5.421333333333334253e-02,1.999466666666666892e-01
4.199999999999999289e-01,8.922466666666667434e-01,6.760866666666667246e-01,5.858666666666667577e-02,1.575733333333333708e-01
4.299999999999999378e-01,8.745266666666667854e-01,6.789066666666667693e-01,5.886000000000000953e-02,1.367600000000000204e-01
4.399999999999999467e-01,8.848133333333335626e-01,6.829266666666667929e-01,7.498000000000001886e-02,1.269066666666666954e-01
4.499999999999999556e-01,8.762133333333335106e-01,6.855200000000001292e-01,7.742666666666668529e-02,1.132666666666666960e-01
4.599999999999999645e-01,8.591400000000001258e-01,6.787333333333334107e-01,8.348666666666668124e-02,9.692000000000000615e-02
4.699999999999999734e-01,8.619600000000000595e-01,6.700800000000001200e-01,9.127333333333334520e-02,1.006066666666666776e-01
4.799999999999999267e-01,8.540666666666667517e-01,6.773933333333334028e-01,9.872000000000001607e-02,7.795333333333334669e-02
4.899999999999999356e-01,8.665733333333335286e-01,6.612333333333334506e-01,1.319533333333333669e-01,7.338666666666668337e-02
4.999999999999999445e-01,8.491066666666667873e-01,6.280133333333334233e-01,1.636600000000000277e-01,5.743333333333334317e-02
5.099999999999998979e-01,8.315800000000002079e-01,6.041000000000000814e-01,1.830400000000000360e-01,4.444000000000000727e-02
5.199999999999999067e-01,8.276466666666668637e-01,5.973466666666668035e-01,1.865733333333333688e-01,4.372666666666667062e-02
5.299999999999999156e-01,8.135400000000001519e-01,5.768666666666667497e-01,1.957400000000000251e-01,4.093333333333334240e-02
5.399999999999999245e-01,8.246600000000000597e-01,5.779200000000001003e-01,2.001533333333333498e-01,4.658666666666667205e-02
5.499999999999999334e-01,8.179000000000001824e-01,5.368400000000000949e-01,2.460600000000000565e-01,3.500000000000000333e-02
5.599999999999999423e-01,7.920000000000001483e-01,5.268600000000001060e-01,2.365200000000000358e-01,2.862000000000000655e-02
5.699999999999999512e-01,7.765000000000001901e-01,5.247266666666667856e-01,2.315400000000000513e-01,2.023333333333333581e-02
5.799999999999999600e-01,7.648333333333334760e-01,5.092133333333334066e-01,2.409866666666667101e-01,1.463333333333333673e-02
5.899999999999999689e-01,7.338066666666668292e-01,4.635933333333334128e-01,2.625400000000000511e-01,7.673333333333334956e-03
5.999999999999999778e-01,7.206400000000000583e-01,4.578400000000000802e-01,2.596000000000000529e-01,3.200000000000000587e-03
6.099999999999998757e-01,7.287333333333335661e-01,4.374000000000001220e-01,2.897333333333333982e-01,1.600000000000000294e-03
6.199999999999998845e-01,7.155133333333333345e-01,4.317400000000000682e-01,2.832533333333333569e-01,5.200000000000000629e-04
6.299999999999998934e-01,6.979800000000000448e-01,4.192800000000000415e-01,2.785000000000000253e-01,2.000000000000000367e-04
6.399999999999999023e-01,6.943266666666667586e-01,3.771666666666667056e-01,3.171600000000000530e-01,0.000000000000000000e+00
6.499999999999999112e-01,6.918000000000000815e-01,3.673800000000000399e-01,3.244200000000000417e-01,0.000000000000000000e+00
6.599999999999999201e-01,7.051933333333333387e-01,3.424066666666666925e-01,3.627866666666667017e-01,0.000000000000000000e+00
6.699999999999999289e-01,6.531066666666667242e-01,3.091466666666667362e-01,3.439600000000000435e-01,0.000000000000000000e+00
6.799999999999999378e-01,6.511133333333334328e-01,2.821466666666667122e-01,3.689666666666667205e-01,0.000000000000000000e+00
6.899999999999999467e-01,5.715333333333334487e-01,2.270333333333333925e-01,3.445000000000000284e-01,0.000000000000000000e+00
6.999999999999999556e-01,5.330200000000000493e-01,1.956400000000000361e-01,3.373800000000000687e-01,0.000000000000000000e+00
7.099999999999999645e-01,4.412266666666667114e-01,1.493800000000000128e-01,2.918466666666666987e-01,0.000000000000000000e+00
7.199999999999998623e-01,3.694133333333333713e-01,1.135600000000000220e-01,2.558533333333333770e-01,0.000000000000000000e+00
7.299999999999998712e-01,3.260533333333334172e-01,9.307333333333334124e-02,2.329800000000000482e-01,0.000000000000000000e+00
7.399999999999998801e-01,2.783400000000000318e-01,8.106666666666667576e-02,1.972733333333333561e-01,0.000000000000000000e+00
7.499999999999998890e-01,2.347200000000000397e-01,6.688000000000000889e-02,1.678400000000000170e-01,0.000000000000000000e+00
7.599999999999998979e-01,2.121133333333333759e-01,5.778666666666668061e-02,1.543266666666666953e-01,0.000000000000000000e+00
7.699999999999999067e-01,2.065133333333333543e-01,5.865333333333334204e-02,1.478600000000000192e-01,0.000000000000000000e+00
7.799999999999999156e-01,1.788666666666667016e-01,5.155333333333333989e-02,1.273133333333333617e-01,0.000000000000000000e+00
7.899999999999999245e-01,1.450266666666666926e-01,4.286666666666667097e-02,1.021600000000000147e-01,0.000000000000000000e+00
7.999999999999999334e-01,1.354733333333333345e-01,4.480666666666667519e-02,9.066666666666667318e-02,0.000000000000000000e+00
8.099999999999999423e-01,8.932000000000001050e-02,3.229333333333334055e-02,5.702666666666667689e-02,0.000000000000000000e+00
8.199999999999998401e-01,7.186000000000000720e-02,3.140000000000000430e-02,4.046000000000000291e-02,0.000000000000000000e+00
