X,Y,U,V
-6.999999999999999556e-01,-8.000000000000000444e-01,2.732645407962631667e-01,-1.083036844339198279e-01
-5.999999999999999778e-01,-8.000000000000000444e-01,3.106114852150636541e-01,-5.973756317954281858e-02
-5.000000000000000000e-01,-8.000000000000000444e-01,3.151525057449799938e-01,-9.716060639592698570e-03
-3.999999999999999112e-01,-8.000000000000000444e-01,2.894138991720470733e-01,4.376732209117246974e-02
-2.999999999999999334e-01,-8.000000000000000444e-01,2.357916337329986900e-01,9.417775789770570227e-02
-1.999999999999999556e-01,-8.000000000000000444e-01,1.620769402588154162e-01,1.424339698237047369e-01
-9.999999999999997780e-02,-8.000000000000000444e-01,7.775431142662636574e-02,1.697714455820834023e-01
0.000000000000000000e+00,-8.000000000000000444e-01,-6.020255268124975745e-03,1.787650570585172238e-01
1.000000000000000888e-01,-8.000000000000000444e-01,-9.425128640018234916e-02,1.679086793349377216e-01
2.000000000000001776e-01,-8.000000000000000444e-01,-1.688847417557299280e-01,1.444282645420759958e-01
3.000000000000000444e-01,-8.000000000000000444e-01,-2.330342484655655300e-01,1.064019188036194746e-01
4.000000000000001332e-01,-8.000000000000000444e-01,-2.731846893118726194e-01,5.983814489477529142e-02
5.000000000000000000e-01,-8.000000000000000444e-01,-2.842787430736333776e-01,6.873427580033591999e-03
6.000000000000000888e-01,-8.000000000000000444e-01,-2.672001328092099559e-01,-5.231746865875711028e-02
7.000000000000001776e-01,-8.000000000000000444e-01,-2.237206349823151752e-01,-1.082393800114111182e-01
8.000000000000000444e-01,-8.000000000000000444e-01,-1.553460377513695423e-01,-1.541822699156513710e-01
9.000000000000001332e-01,-8.000000000000000444e-01,-7.007037973366841976e-02,-1.850965872512271293e-01
1.000000000000000000e+00,-8.000000000000000444e-01,3.728114376360375931e-02,-1.756040389215833830e-01
-1.000000000000000000e+00,-6.999999999999999556e-01,3.249408756753714017e-02,-2.599435114785313972e-01
-9.000000000000000222e-01,-6.999999999999999556e-01,1.074845444123244675e-01,-2.457527425115067499e-01
-8.000000000000000444e-01,-6.999999999999999556e-01,1.681184371734037175e-01,-2.087523453171067356e-01
-6.999999999999999556e-01,-6.999999999999999556e-01,2.193943313369653425e-01,-1.479166674716100305e-01
-5.999999999999999778e-01,-6.999999999999999556e-01,2.384772973559969311e-01,-8.064924678133196523e-02
-5.000000000000000000e-01,-6.999999999999999556e-01,2.434223441299787072e-01,-1.145647110603539853e-04
-3.999999999999999112e-01,-6.999999999999999556e-01,2.227989157556955480e-01,8.524091640874414955e-02
-2.999999999999999334e-01,-6.999999999999999556e-01,1.804228869703971005e-01,1.555373305481241308e-01
-1.999999999999999556e-01,-6.999999999999999556e-01,1.198487303207530913e-01,2.129188595877797852e-01
-9.999999999999997780e-02,-6.999999999999999556e-01,5.614334163026715729e-02,2.465373531268095775e-01
0.000000000000000000e+00,-6.999999999999999556e-01,-4.087765064399563955e-03,2.631201292235201272e-01
1.000000000000000888e-01,-6.999999999999999556e-01,-7.400697580778048401e-02,2.480728252498694553e-01
2.000000000000001776e-01,-6.999999999999999556e-01,-1.266198434720985644e-01,2.080778449019792531e-01
3.000000000000000444e-01,-6.999999999999999556e-01,-1.712851161171518588e-01,1.522260002694574565e-01
