X,Y,Vort
2.763819095477386689e-01,-1.000000000000000000e+00,4.898662303106984250e-01
2.864321608040201195e-01,-1.000000000000000000e+00,4.523402272633524346e-01
2.964824120603015700e-01,-1.000000000000000000e+00,4.197310486058984935e-01
3.065326633165830206e-01,-1.000000000000000000e+00,3.944296013984891491e-01
3.165829145728642491e-01,-1.000000000000000000e+00,3.764214973909331685e-01
3.266331658291456996e-01,-1.000000000000000000e+00,3.647905583751755443e-01
3.366834170854271502e-01,-1.000000000000000000e+00,3.586383520158835658e-01
3.467336683417086007e-01,-1.000000000000000000e+00,3.570664459777241895e-01
3.567839195979900513e-01,-1.000000000000000000e+00,3.591764079253645936e-01
3.668341708542712798e-01,-1.000000000000000000e+00,3.640698055234711794e-01
3.768844221105527303e-01,-1.000000000000000000e+00,3.708482064367113473e-01
3.869346733668341809e-01,-1.000000000000000000e+00,3.786131783297516651e-01
3.969849246231156314e-01,-1.000000000000000000e+00,3.864662888672592556e-01
4.070351758793970820e-01,-1.000000000000000000e+00,3.946565309778088393e-01
4.170854271356783105e-01,-1.000000000000000000e+00,4.058478915340418269e-01
4.271356783919597611e-01,-1.000000000000000000e+00,4.198378161723434476e-01
4.371859296482412116e-01,-1.000000000000000000e+00,4.362203866615756431e-01
4.472361809045226622e-01,-1.000000000000000000e+00,4.545896847706007993e-01
4.572864321608041127e-01,-1.000000000000000000e+00,4.745397922682810798e-01
4.673366834170853412e-01,-1.000000000000000000e+00,4.956647909234785376e-01
4.773869346733667918e-01,-1.000000000000000000e+00,5.175587625050561691e-01
4.874371859296482423e-01,-1.000000000000000000e+00,5.398157887818758605e-01
4.974874371859296929e-01,-1.000000000000000000e+00,5.620299515228001086e-01
5.075376884422111434e-01,-1.000000000000000000e+00,5.837493317164775819e-01
5.175879396984925940e-01,-1.000000000000000000e+00,6.041216345913849040e-01
5.276381909547738225e-01,-1.000000000000000000e+00,6.220884150465096907e-01
5.376884422110552730e-01,-1.000000000000000000e+00,6.365895242768316864e-01
5.477386934673367236e-01,-1.000000000000000000e+00,6.465648134773288591e-01
5.577889447236181741e-01,-1.000000000000000000e+00,6.509541338429798429e-01
5.678391959798996247e-01,-1.000000000000000000e+00,6.486973365687629389e-01
5.778894472361808532e-01,-1.000000000000000000e+00,6.387342728496573363e-01
