t,xc
2.519527896995707561e+00,6.306076785725682754e-01
2.562231759656651953e+00,6.245823876847165224e-01
2.604935622317595900e+00,6.136197495641244615e-01
2.647639484978540292e+00,5.981411777197918056e-01
2.690343347639484239e+00,5.783100908177827293e-01
2.733047210300428631e+00,5.531458510819682317e-01
2.775751072961372579e+00,5.262419636025095215e-01
2.818454935622317414e+00,4.975981480498887777e-01
2.861158798283261362e+00,4.582295259102142637e-01
2.903862660944205754e+00,4.338494957237797323e-01
2.946566523605149701e+00,4.002572121733241062e-01
2.989270386266094093e+00,3.795075865488142242e-01
3.031974248927038040e+00,3.659261846849739541e-01
3.074678111587982432e+00,3.642829263776556914e-01
3.117381974248926380e+00,3.652708919622309480e-01
3.160085836909870771e+00,3.758523154631117080e-01
3.202789699570814719e+00,3.867567721091260680e-01
3.245493562231759110e+00,4.116424045418494160e-01
3.288197424892703058e+00,4.298541067046830477e-01
3.330901287553647450e+00,4.592030124425061643e-01
3.373605150214591397e+00,4.912702100941892525e-01
3.416309012875535789e+00,5.283314068496238747e-01
3.459012875536479736e+00,5.615404373994055121e-01
3.501716738197424128e+00,5.906070260480040801e-01
3.544420600858368076e+00,6.091865165215679667e-01
3.587124463519312467e+00,6.257704204291005823e-01
3.629828326180257303e+00,6.288576910044536561e-01
3.672532188841200806e+00,6.297892086070726592e-01
3.715236051502145642e+00,6.182495412990531847e-01
3.757939914163089146e+00,6.019434718378766647e-01
3.800643776824033981e+00,5.853559098220140200e-01
3.843347639484977485e+00,5.635214932632761631e-01
3.886051502145922321e+00,5.348590361398279924e-01
3.928755364806865824e+00,5.037315367301236080e-01
3.971459227467810660e+00,4.720416438255972125e-01
4.014163090128754163e+00,4.418417644304009073e-01
4.056866952789698999e+00,4.090186573475822485e-01
4.099570815450642947e+00,3.878893069795408266e-01
4.142274678111586894e+00,3.718190615936736165e-01
4.184978540772531730e+00,3.630207163364591594e-01
4.227682403433475677e+00,3.672980395461946657e-01
4.270386266094420513e+00,3.731847241002732574e-01
4.313090128755363573e+00,3.872539599627877749e-01
4.355793991416308408e+00,4.052656757779171670e-01
4.398497854077252356e+00,4.276780860714177734e-01
4.441201716738197192e+00,4.532008192390257761e-01
4.483905579399140251e+00,4.857847884302852748e-01
4.526609442060085087e+00,5.197349339339538687e-01
4.569313304721029034e+00,5.532658513219486096e-01
4.612017167381973870e+00,5.848174356240303240e-01
4.654721030042916929e+00,6.093209537454793434e-01
4.697424892703861765e+00,6.229812427888390403e-01
4.740128755364806601e+00,6.309221957923547563e-01
4.782832618025750548e+00,6.299112536663056261e-01
4.825536480686694496e+00,6.199851973775709624e-01
4.868240343347638444e+00,6.128955150239097094e-01
4.910944206008583279e+00,5.914845799568535512e-01
4.953648068669527227e+00,5.694021142002911873e-01
4.996351931330471174e+00,5.441964496423095099e-01
5.039055793991415122e+00,5.162490295156390019e-01
5.081759656652359958e+00,4.806210278852631745e-01
5.124463519313303905e+00,4.454784385026169247e-01
5.167167381974247853e+00,4.207079986573116770e-01
5.209871244635191800e+00,3.905835822707324212e-01
5.252575107296136636e+00,3.759603857363726931e-01
5.295278969957081472e+00,3.655725881624665163e-01
5.337982832618024531e+00,3.643775153283108637e-01
5.380686695278969367e+00,3.709252249645800248e-01
5.423390557939913315e+00,3.820685677476083342e-01
5.466094420600858150e+00,3.998978023652846048e-01
5.508798283261801210e+00,4.228835274307476411e-01
5.551502145922746045e+00,4.461010915961463041e-01
5.594206008583689993e+00,4.778360399384382617e-01
5.636909871244634829e+00,5.108344579125310148e-01
5.679613733905577888e+00,5.446799008410474485e-01
5.722317596566522724e+00,5.760221233822218068e-01
5.765021459227466671e+00,6.023627882040809567e-01
5.807725321888411507e+00,6.190059485106447212e-01
5.850429184549355455e+00,6.268013116848898392e-01
5.893133047210299402e+00,6.280375049871480542e-01
5.935836909871244238e+00,6.247079932048746898e-01
5.978540772532188186e+00,6.124102253629564174e-01
6.021244635193132133e+00,5.942081902972073948e-01
6.063948497854076081e+00,5.725439993102012792e-01
6.106652360515020916e+00,5.463592698688728433e-01
6.149356223175964864e+00,5.212169254268719243e-01
6.192060085836908812e+00,4.921779964678609787e-01
6.234763948497852759e+00,4.583591987566846271e-01
6.277467811158797595e+00,4.247732188064592407e-01
6.320171673819741542e+00,3.982984342082538376e-01
6.362875536480685490e+00,3.759748287862567651e-01
6.405579399141630326e+00,3.664835839853575195e-01
6.448283261802574273e+00,3.606836572030704957e-01
6.490987124463518221e+00,3.652542445391855352e-01
6.533690987124462168e+00,3.799251050119849538e-01
6.576394849785407004e+00,3.960560297620041581e-01
6.619098712446351840e+00,4.159914122307064588e-01
6.661802575107294899e+00,4.436253562350520596e-01
6.704506437768240623e+00,4.707515798925117068e-01
6.747210300429184571e+00,5.017521527731032549e-01
6.789914163090128518e+00,5.355209173465098615e-01
6.832618025751071578e+00,5.714519900552668119e-01
6.875321888412017302e+00,5.961703449725250792e-01
6.918025751072961249e+00,6.175631618648633747e-01
6.960729613733905197e+00,6.303973351668092917e-01
7.003433476394850032e+00,6.335536222497539782e-01
7.046137339055793980e+00,6.280358255235141129e-01
7.088841201716737928e+00,6.201836625362133759e-01
7.131545064377681875e+00,6.005223708921363368e-01
7.174248927038626711e+00,5.809661881554779583e-01
7.216952789699570658e+00,5.597420748788941580e-01
7.259656652360514606e+00,5.332369830993952675e-01
7.302360515021458554e+00,5.000049979981007198e-01
7.345064377682403389e+00,4.660550070680518076e-01
7.387768240343347337e+00,4.332758488086714266e-01
7.430472103004291284e+00,4.062527029735329975e-01
7.473175965665236120e+00,3.821964801522863553e-01
7.515879828326180068e+00,3.707324470679296269e-01
7.558583690987124015e+00,3.653648396707289692e-01
7.601287553648067963e+00,3.685612243545675071e-01
7.643991416309012799e+00,3.768703231982239998e-01
7.686695278969956746e+00,3.935937224855141636e-01
7.729399141630900694e+00,4.148002521857403480e-01
7.772103004291844641e+00,4.336276187488365963e-01
7.814806866952789477e+00,4.605027801532308729e-01
7.857510729613733425e+00,4.960977661710002096e-01
7.900214592274677372e+00,5.279000107668974096e-01
7.942918454935621320e+00,5.616157900016780502e-01
7.985622317596566155e+00,5.949508713736690879e-01
8.028326180257510103e+00,6.119868841872477816e-01
8.071030042918454939e+00,6.266227575578904307e-01
8.113733905579399774e+00,6.344387066682903864e-01
8.156437768240342834e+00,6.289003141359597038e-01
8.199141630901287670e+00,6.205716264400775728e-01
8.241845493562230729e+00,6.068715452064115112e-01
8.284549356223175565e+00,5.861741834163698428e-01
8.327253218884120400e+00,5.626937305051900040e-01
