t, xc
2.263304721030042543e+00,9.694335644859131129e-01
2.306008583690986935e+00,8.961365439161910196e-01
2.348712446351930883e+00,8.228395233464695924e-01
2.391416309012875274e+00,7.495425027767470549e-01
2.434120171673819222e+00,6.762454822070255167e-01
2.476824034334763613e+00,6.029484616373029793e-01
2.519527896995707561e+00,5.296514410675804418e-01
2.562231759656651953e+00,4.563544204978589591e-01
2.604935622317595900e+00,3.830573999281374764e-01
2.647639484978540292e+00,3.097603793584149390e-01
2.690343347639484239e+00,2.364633587886923460e-01
2.733047210300428631e+00,1.631663382189697531e-01
2.775751072961372579e+00,8.986931764924721566e-02
2.818454935622317414e+00,1.657229707952684317e-02
2.861158798283261362e+00,8.041027789193061492e-02
2.903862660944205754e+00,1.537072984616532079e-01
2.946566523605149701e+00,2.270043190313758008e-01
2.989270386266094093e+00,3.003013396010983938e-01
3.031974248927038040e+00,3.735983601708187107e-01
3.074678111587982432e+00,4.468953807405412482e-01
3.117381974248926380e+00,5.201924013102638966e-01
3.160085836909870771e+00,5.934894218799864340e-01
3.202789699570814719e+00,6.667864424497068621e-01
3.245493562231759110e+00,7.400834630194292885e-01
3.288197424892703058e+00,8.133804835891520479e-01
3.330901287553647450e+00,8.866775041588745854e-01
3.373605150214591397e+00,9.599745247285971228e-01
3.416309012875535789e+00,9.430429002999454191e-01
3.459012875536479736e+00,8.697458797302251021e-01
3.501716738197424128e+00,7.964488591605025647e-01
3.544420600858368076e+00,7.231518385907799162e-01
3.587124463519312467e+00,6.498548180210573788e-01
3.629828326180257303e+00,5.765577974513348414e-01
3.672532188841200806e+00,5.032607768816144134e-01
3.715236051502145642e+00,4.299637563118918759e-01
3.757939914163089146e+00,3.566667357421692830e-01
3.800643776824033981e+00,2.833697151724466901e-01
3.843347639484977485e+00,2.100726946027241526e-01
3.886051502145922321e+00,1.367756740330037801e-01
3.928755364806865824e+00,6.347865346328118719e-02
3.971459227467810660e+00,3.350392150817621539e-02
4.014163090128754163e+00,1.068009420778965879e-01
4.056866952789698999e+00,1.800979626476213458e-01
4.099570815450642947e+00,2.533949832173417738e-01
4.142274678111586894e+00,3.266920037870643112e-01
4.184978540772531730e+00,3.999890243567868486e-01
4.227682403433475677e+00,4.732860449265094971e-01
4.270386266094420513e+00,5.465830654962299251e-01
4.313090128755363573e+00,6.198800860659523515e-01
4.355793991416308408e+00,6.931771066356750000e-01
4.398497854077252356e+00,7.664741272053954280e-01
4.441201716738197192e+00,8.397711477751201858e-01
4.483905579399140251e+00,9.130681683448405028e-01
4.526609442060085087e+00,9.863651889145630403e-01
4.569313304721029034e+00,9.166522361139795017e-01
4.612017167381973870e+00,8.433552155442569642e-01
4.654721030042916929e+00,7.700581949745365362e-01
4.697424892703861765e+00,6.967611744048117783e-01
4.740128755364806601e+00,6.234641538350891299e-01
4.782832618025750548e+00,5.501671332653688129e-01
4.825536480686694496e+00,4.768701126956462200e-01
4.868240343347638444e+00,4.035730921259236825e-01
4.910944206008583279e+00,3.302760715562033100e-01
4.953648068669527227e+00,2.569790509864807171e-01
4.996351931330471174e+00,1.836820304167581797e-01
5.039055793991415122e+00,1.103850098470378072e-01
5.081759656652359958e+00,3.708798927731526973e-02
5.124463519313303905e+00,5.989458569414229938e-02
5.167167381974247853e+00,1.331916062638648368e-01
5.209871244635191800e+00,2.064886268335873742e-01
5.252575107296136636e+00,2.797856474033099117e-01
5.295278969957081472e+00,3.530826679730325601e-01
5.337982832618024531e+00,4.263796885427528771e-01
5.380686695278969367e+00,4.996767091124776350e-01
5.423390557939913315e+00,5.729737296821980630e-01
5.466094420600858150e+00,6.462707502519206004e-01
5.508798283261801210e+00,7.195677708216431379e-01
5.551502145922746045e+00,7.928647913913657863e-01
5.594206008583689993e+00,8.661618119610861033e-01
5.636909871244634829e+00,9.394588325308108612e-01
5.679613733905577888e+00,9.635585924977339012e-01
5.722317596566522724e+00,8.902615719280113638e-01
5.765021459227466671e+00,8.169645513582887153e-01
5.807725321888411507e+00,7.436675307885683983e-01
5.850429184549355455e+00,6.703705102188457499e-01
5.893133047210299402e+00,5.970734896491232124e-01
5.935836909871244238e+00,5.237764690794006750e-01
5.978540772532188186e+00,4.504794485096802470e-01
6.021244635193132133e+00,3.771824279399577096e-01
6.063948497854076081e+00,3.038854073702351166e-01
6.106652360515020916e+00,2.305883868005125237e-01
6.149356223175964864e+00,1.572913662307922067e-01
6.192060085836908812e+00,8.399434566106739330e-02
6.234763948497852759e+00,1.298822931038789985e-02
6.277467811158797595e+00,8.628524988011043728e-02
6.320171673819741542e+00,1.595822704498329747e-01
6.362875536480685490e+00,2.328792910195555121e-01
6.405579399141630326e+00,3.061763115892781606e-01
6.448283261802574273e+00,3.794733321590006980e-01
6.490987124463518221e+00,4.527703527287211260e-01
6.533690987124462168e+00,5.260673732984436635e-01
6.576394849785407004e+00,5.993643938681662009e-01
6.619098712446351840e+00,6.726614144378888493e-01
6.661802575107294899e+00,7.459584350076091663e-01
6.704506437768240623e+00,8.192554555773317038e-01
6.747210300429184571e+00,8.925524761470542412e-01
6.789914163090128518e+00,9.658494967167745582e-01
6.832618025751071578e+00,9.371679283117678727e-01
6.875321888412017302e+00,8.638709077420430038e-01
6.918025751072961249e+00,7.905738871723226868e-01
6.960729613733905197e+00,7.172768666026001494e-01
7.003433476394850032e+00,6.439798460328753915e-01
7.046137339055793980e+00,5.706828254631549635e-01
7.088841201716737928e+00,4.973858048934346465e-01
7.131545064377681875e+00,4.240887843237121091e-01
7.174248927038626711e+00,3.507917637539895162e-01
7.216952789699570658e+00,2.774947431842669232e-01
7.259656652360514606e+00,2.041977226145465507e-01
7.302360515021458554e+00,1.309007020448239578e-01
7.345064377682403389e+00,5.760368147510136483e-02
7.387768240343347337e+00,3.937889349635603775e-02
7.430472103004291284e+00,1.126759140660764102e-01
7.473175965665236120e+00,1.859729346358011681e-01
7.515879828326180068e+00,2.592699552055237611e-01
7.558583690987124015e+00,3.325669757752440781e-01
7.601287553648067963e+00,4.058639963449645061e-01
7.643991416309012799e+00,4.791610169146892639e-01
7.686695278969956746e+00,5.524580374844119124e-01
7.729399141630900694e+00,6.257550580541322294e-01
7.772103004291844641e+00,6.990520786238547668e-01
7.814806866952789477e+00,7.723490991935773042e-01
7.857510729613733425e+00,8.456461197633000637e-01
7.900214592274677372e+00,9.189431403330223791e-01
7.942918454935621320e+00,9.840742846955222722e-01
7.985622317596566155e+00,9.107772641257996238e-01
8.028326180257510103e+00,8.374802435560793068e-01
8.071030042918454939e+00,7.641832229863567694e-01
8.113733905579399774e+00,6.908862024166320115e-01
8.156437768240342834e+00,6.175891818469115835e-01
8.199141630901287670e+00,5.442921612771890461e-01
8.241845493562230729e+00,4.709951407074686736e-01
8.284549356223175565e+00,3.976981201377438602e-01
8.327253218884120400e+00,3.244010995680213227e-01
