gamma,total,chaotic,elliptic
6.600000000000000311e-01,5.942666666666666098e-01,5.911999999999999478e-01,3.066666666666666759e-03
6.700000000000000400e-01,6.227666666666666906e-01,6.227666666666666906e-01,0.000000000000000000e+00
6.800000000000000488e-01,5.649666666666667281e-01,5.640666666666667162e-01,8.999999999999999754e-04
6.900000000000000577e-01,5.531999999999999140e-01,5.487999999999999545e-01,4.400000000000000265e-03
7.000000000000000666e-01,4.829999999999999849e-01,4.824333333333333251e-01,5.666666666666667074e-04
7.100000000000000755e-01,4.201333333333333031e-01,4.195666666666666433e-01,5.666666666666667074e-04
7.199999999999999734e-01,3.728333333333332944e-01,3.721333333333333160e-01,6.999999999999999929e-04
7.299999999999999822e-01,3.333333333333333703e-01,3.329333333333333589e-01,4.000000000000000192e-04
7.399999999999999911e-01,2.631666666666666599e-01,2.626999999999999891e-01,4.666666666666666619e-04
7.500000000000000000e-01,2.645666666666666722e-01,2.641000000000000014e-01,4.666666666666666619e-04
7.600000000000000089e-01,2.100333333333333496e-01,2.091333333333333377e-01,8.999999999999999754e-04
7.700000000000000178e-01,1.637000000000000122e-01,1.637000000000000122e-01,0.000000000000000000e+00
7.800000000000000266e-01,1.635000000000000064e-01,1.635000000000000064e-01,0.000000000000000000e+00
7.900000000000000355e-01,1.266666666666666496e-01,1.258333333333333248e-01,8.333333333333333868e-04
8.000000000000000444e-01,8.369999999999999662e-02,8.346666666666666123e-02,2.333333333333333310e-04
